parameter_A,parameter_B,parameter_C,channels,lower_order_cv_rmse,full_3way_cv_rmse,incremental_rmse_improvement_pct,lower_order_cv_r2,full_3way_cv_r2,incremental_r2,fold_reproducibility,evidence_label,reason
MEASURE_ET_Cap3pf,OHMIC_ET_Rc_an_ct2,TOPSIN_ET_CapPARCAP_0,2_shared_node_chaining,2.1622,2.0126,6.919,0.0676,0.1966,0.129,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.1290."
MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,SIN_ET_lkg_SY8_80,TOPSIN_ET_lkg_SY07_10,2_shared_node_chaining,2.1462,1.9855,7.491,0.0893,0.2175,0.1282,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.1282."
OHMIC_ET_Rc_an_ct2,TOPSIN_ET_CapPARCAP_0,TOPSIN_ET_Cap_USV,2_shared_node_chaining,2.163,2.0169,6.753,0.067,0.1924,0.1254,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.1254."
MEASURE_ET_DC_Diode_D_leak_65V,MEASURE_ET_lkg_CapFICM1,THIN_ET_lkg_PAD_10,1_triangle+2_shared_node_chaining,2.1798,2.0457,6.151,0.052,0.1695,0.1175,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.1175."
MEASURE_ET_lkg_5,THIN_ET_lkg_PAD_10,TOPSIN_ET_lkg_C500pf,1_triangle+2_shared_node_chaining,2.1669,2.0304,6.299,0.0703,0.1855,0.1152,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.1152."
MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,TOPSIN_ET_lkg_C500pf,TOPSIN_ET_lkg_SY07_10,2_shared_node_chaining,2.1548,2.0153,6.477,0.0805,0.1956,0.1151,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.1151."
MEASURE_ET_lkg_5,SIN_GATE_ET_lkg_5,TOPSIN_ET_lkg_C500pf,1_triangle+2_shared_node_chaining,2.1405,2.0007,6.532,0.0923,0.207,0.1147,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.1147."
SIN_CAPACITOR_ThicknessGN1_SiN_Thickness,THIN_ET_Cap_C300,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining+3_edge_plus_high_conditional,2.2032,2.0734,5.892,0.0379,0.151,0.1131,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.1131."
MEASURE_ET_lkg_5,MEASURE_ET_lkg_C300FM1,TOPSIN_ET_lkg_Cap3,2_shared_node_chaining,2.1091,1.9813,6.062,0.1121,0.2239,0.1118,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.1118."
MEASURE_ET_lkg_C300FM1,MEASURE_ET_lkg_Cap2,TOPSIN_ET_lkg_5,2_shared_node_chaining,2.1804,2.0634,5.363,0.0473,0.1582,0.1109,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.1109."
MEASURE_ET_DC_Diode_D_leak_65V,MEASURE_ET_lkg_Cap2,MEASURE_ET_lkg_CapFICM1,2_shared_node_chaining,2.2071,2.0925,5.194,0.0183,0.128,0.1097,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.1097."
MEASURE_ET_DC_Diode_D_leak_65V,THIN_ET_lkg_PAD_10,TOPSIN_ET_lkg_SY07_10,2_shared_node_chaining,2.1701,2.0392,6.031,0.0667,0.1759,0.1092,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.1092."
MEASURE_ET_lkg_5,MEASURE_ET_lkg_C300FM1,SIN_ET_lkg_SY8_80,2_shared_node_chaining,2.1028,1.9717,6.237,0.1253,0.234,0.1087,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.1087."
MEASURE_ET_lkg_CapFICM1,OHMIC_ET_lkg_5,THIN_ET_lkg_PAD_10,1_triangle+2_shared_node_chaining,2.1552,2.0296,5.831,0.0753,0.1839,0.1085,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.1085."
MEASURE_ET_lkg_5,TOPSIN_ET_lkg_5,TOPSIN_ET_lkg_C385pf,2_shared_node_chaining,2.1806,2.055,5.762,0.0529,0.1611,0.1082,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.1082."
THIN_ET_lkg_50_at20V,THIN_ET_lkg_PAD_10,TOPSIN_ET_lkg_SY07_10,1_triangle+2_shared_node_chaining,2.1624,2.0341,5.932,0.0742,0.1823,0.1081,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.1081."
MEASURE_ET_lkg_C300FM1,MEASURE_ET_lkg_Cap2,TOPSIN_ET_lkg_C300,2_shared_node_chaining,2.153,2.0363,5.42,0.0745,0.1825,0.1079,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.1079."
TOPSIN_ET_C100CapFICM1,TOPSIN_ET_Cap1pf_0,TOPSIN_ET_Load_Pull_Id_ini,3_edge_plus_high_conditional,2.231,2.1126,5.307,0.0106,0.1178,0.1072,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.1072."
MEASURE_ET_lkg_C300FM1,MEASURE_ET_lkg_USV_Cap,THIN_ET_lkg_PAD_10,2_shared_node_chaining,2.1629,2.0411,5.632,0.0705,0.1766,0.106,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.1060."
MEASURE_ET_lkg_5,SIN_ET_lkg_SY8_80,SIN_GATE_ET_lkg_5,2_shared_node_chaining,2.1147,1.9829,6.233,0.1162,0.2216,0.1054,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.1054."
MEASURE_ET_DC_Diode_D_leak_65V,MEASURE_ET_lkg_C300FM1,TOPSIN_ET_lkg_Cap3,2_shared_node_chaining,2.1552,2.0328,5.681,0.0784,0.1835,0.1052,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.1052."
MEASURE_ET_lkg_C300FM1,MEASURE_ET_lkg_CapFICM1,THIN_ET_lkg_PAD_10,2_shared_node_chaining,2.1445,2.0261,5.519,0.0846,0.1898,0.1052,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.1052."
MEASURE_ET_lkg_5,MEASURE_ET_lkg_PAD_10,THIN_ET_lkg_PAD_10,1_triangle+2_shared_node_chaining,2.119,1.9904,6.067,0.1095,0.2144,0.1049,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.1049."
MEASURE_ET_lkg_Cap2,MEASURE_ET_lkg_CapFICM1,TOPSIN_ET_lkg_C300,2_shared_node_chaining,2.1622,2.0526,5.071,0.057,0.1617,0.1047,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.1047."
MEASURE_ET_DC_PIV_Imax_QP1,TOPSIN_ET_Gm_max,TOPSIN_ET_lkg_CapM1BRGM,2_shared_node_chaining,2.1677,2.041,5.844,0.0683,0.1729,0.1046,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.1046."
MEASURE_ET_C300M1B_0,MEASURE_ET_Cap_C300M1B,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,2.1805,2.067,5.205,0.0515,0.1552,0.1037,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.1037."
MEASURE_ET_lkg_Cap2,THIN_ET_lkg_PAD_10,TOPSIN_ET_lkg_C300,2_shared_node_chaining,2.1532,2.0407,5.226,0.0765,0.1797,0.1031,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.1031."
MEASURE_ET_DC_Diode_D_leak_65V,MEASURE_ET_lkg_PAD_10,THIN_ET_lkg_PAD_10,2_shared_node_chaining,2.164,2.0408,5.693,0.0727,0.1759,0.1031,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.1031."
MEASURE_ET_lkg_CapFICM1,THIN_ET_lkg_70_at20V,TOPSIN_ET_lkg_5,1_triangle+2_shared_node_chaining,2.1833,2.0689,5.24,0.0498,0.1527,0.1029,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.1029."
MEASURE_ET_lkg_CapFICM1,TOPSIN_ET_lkg_5,TOPSIN_ET_lkg_CapPARCAP,1_triangle+2_shared_node_chaining,2.2094,2.0979,5.047,0.0222,0.125,0.1028,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.1028."
MEASURE_ET_lkg_C300FM1,THIN_ET_lkg_70_at20V,TOPSIN_ET_lkg_5,2_shared_node_chaining,2.2048,2.0937,5.04,0.0324,0.1351,0.1028,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.1028."
MEASURE_ET_lkg_C300FM1,MEASURE_ET_lkg_Cap2,MEASURE_ET_lkg_SY07_10,2_shared_node_chaining,2.1763,2.0675,5.002,0.053,0.1554,0.1024,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.1024."
CATHODE_ET_Rc_cat_ct2_OW_ST,MEASURE_ET_Cap_C300FM1,TOPSIN_ET_CapPARCAP_0,2_shared_node_chaining,2.1593,2.045,5.291,0.0644,0.1667,0.1023,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.1023."
MEASURE_ET_lkg_5,THIN_ET_lkg_PAD_10,TOPSIN_ET_lkg_SY07_10,1_triangle+2_shared_node_chaining,2.1235,2.0004,5.797,0.1072,0.209,0.1019,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.1019."
MEASURE_ET_Rcat_cn_3,TOPSIN_ET_CapPARCAP_0,TOPSIN_ET_Cap_USV,2_shared_node_chaining,2.1394,2.0205,5.557,0.0884,0.19,0.1016,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.1016."
MEASURE_ET_lkg_CapFICM1,TOPSIN_ET_lkg_5,TOPSIN_ET_lkg_C500pf,1_triangle+2_shared_node_chaining,2.1826,2.066,5.344,0.0523,0.1538,0.1015,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.1015."
MEASURE_ET_lkg_100,MEASURE_ET_lkg_5,MEASURE_ET_lkg_Cap2,1_triangle+2_shared_node_chaining,2.1327,2.0222,5.181,0.0878,0.1892,0.1014,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.1014."
MEASURE_ET_lkg_5,MEASURE_ET_lkg_50_at20V,THIN_ET_lkg_PAD_10,2_shared_node_chaining,2.1407,2.0233,5.486,0.0897,0.1911,0.1014,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.1014."
MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_FPSD3p2,MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,TOPSIN_ET_lkg_C385pf,1_triangle+2_shared_node_chaining,2.0315,1.9128,5.839,0.1699,0.271,0.101,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.1010."
MEASURE_ET_DC_Diode_D_leak_65V,MEASURE_ET_lkg_CapFICM1,TOPSIN_ET_lkg_CapPARCAP,2_shared_node_chaining,2.2297,2.1183,4.996,0.008,0.1088,0.1008,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.1008."
MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,MEASURE_ET_lkg_C300FB,MEASURE_ET_lkg_C300FM1,2_shared_node_chaining,2.1539,2.0394,5.317,0.0784,0.1791,0.1007,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.1007."
CATHODE_ET_Rc_cat_ct2_OW_ST,MEASURE_ET_Cap3pf,TOPSIN_ET_CapPARCAP_0,2_shared_node_chaining,2.1239,2.0054,5.577,0.0971,0.1978,0.1007,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.1007."
MEASURE_ET_DC_Diode_D_leak_65V,MEASURE_ET_lkg_CapFICM1,TOPSIN_ET_lkg_5,2_shared_node_chaining,2.2057,2.0966,4.948,0.0273,0.1272,0.0999,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0999."
MEASURE_ET_lkg_C300FM1,MEASURE_ET_lkg_Cap2,TOPSIN_ET_lkg_Cap3,2_shared_node_chaining,2.152,2.046,4.927,0.0714,0.1713,0.0999,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0999."
MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,MEASURE_ET_lkg_C300FM1,SIN_ET_lkg_SY07_10,1_triangle+2_shared_node_chaining,2.121,2.0032,5.553,0.1081,0.2079,0.0998,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0998."
MEASURE_ET_lkg_5,MEASURE_ET_lkg_C300FM1,TOPSIN_ET_lkg_C500pf,2_shared_node_chaining,2.1546,2.0402,5.311,0.0808,0.1805,0.0997,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0997."
MEASURE_ET_lkg_5,MEASURE_ET_lkg_C300FM1,MEASURE_ET_lkg_SY8_80,2_shared_node_chaining,2.1427,2.0321,5.163,0.0878,0.1873,0.0995,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0995."
MEASURE_ET_lkg_C300FB,MEASURE_ET_lkg_CapFICM1,THIN_ET_lkg_PAD_10,1_triangle+2_shared_node_chaining,2.1614,2.0494,5.185,0.0681,0.1675,0.0994,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0994."
MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_FPSD3p2,MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,SIN_GATE_ET_lkg_SY8_80,2_shared_node_chaining,2.0335,1.9141,5.871,0.1713,0.2707,0.0994,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0994."
MEASURE_ET_Cap1pf_0,MEASURE_ET_Rc_f_hr_23,THIN_ET_Cap_C300,2_shared_node_chaining,2.1884,2.0792,4.987,0.0474,0.1465,0.0991,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0991."
MEASURE_ET_Cap3pf_0,MEASURE_ET_Rc_f_hr_23,THIN_ET_Cap_C300,2_shared_node_chaining,2.1707,2.0624,4.988,0.0621,0.1612,0.0991,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0991."
MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,MEASURE_ET_lkg_CapFICM1,THIN_ET_lkg_PAD_10,2_shared_node_chaining,2.171,2.0595,5.136,0.061,0.16,0.099,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0990."
MEASURE_ET_lkg_5,MEASURE_ET_lkg_C500pf,THIN_ET_lkg_PAD_10,2_shared_node_chaining,2.1435,2.0275,5.414,0.0927,0.1915,0.0988,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0988."
OHMIC_ET_lkg_5,SIN_GATE_ET_lkg_5,THIN_ET_lkg_PAD_10,2_shared_node_chaining,2.1413,2.0247,5.443,0.09,0.1887,0.0987,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0987."
MEASURE_ET_lkg_C300FB,MEASURE_ET_lkg_C300FM1,MEASURE_ET_lkg_Cap2,2_shared_node_chaining,2.1708,2.066,4.826,0.0561,0.1547,0.0986,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0986."
MEASURE_ET_DC_Diode_D_leak_65V,MEASURE_ET_lkg_CapFICM1,MEASURE_ET_lkg_SY07_10,2_shared_node_chaining,2.2135,2.1025,5.013,0.0251,0.1238,0.0986,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0986."
MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,MEASURE_ET_lkg_C300FM1,TOPSIN_ET_lkg_Cap3,1_triangle+2_shared_node_chaining,2.1397,2.0242,5.398,0.0921,0.1905,0.0984,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0984."
MEASURE_ET_lkg_C300M1B,TOPSIN_ET_C100CapUSV,TOPSIN_ET_lkg_CapFICM1,2_shared_node_chaining,2.1507,2.0479,4.781,0.0706,0.1689,0.0983,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0983."
MEASURE_ET_LT_SEC_Ileak_m5V_mA_mm,OHMIC_ET_lkg_5,TOPSIN_ET_lkg_C500pf,2_shared_node_chaining,2.1645,2.0442,5.561,0.074,0.1723,0.0983,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0983."
MEASURE_ET_lkg_100,MEASURE_ET_lkg_5,MEASURE_ET_lkg_C300FM1,2_shared_node_chaining,2.1543,2.0448,5.081,0.0784,0.1766,0.0983,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0983."
MEASURE_ET_lkg_5,MEASURE_ET_lkg_Cap2,MEASURE_ET_lkg_SY8_80,2_shared_node_chaining,2.1586,2.0533,4.874,0.0651,0.1632,0.0981,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0981."
MEASURE_ET_lkg_CapFICM1,MEASURE_ET_lkg_USV_Cap,THIN_ET_lkg_PAD_10,1_triangle+2_shared_node_chaining,2.1791,2.0712,4.951,0.0519,0.1498,0.0979,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0979."
SIN_GATE_ET_lkg_5,THIN_ET_lkg_100_at20V,THIN_ET_lkg_PAD_10,1_triangle+2_shared_node_chaining,2.1695,2.0519,5.417,0.0695,0.1673,0.0978,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0978."
MEASURE_ET_LT_SEC_Ileak_m10V_mA_mm,OHMIC_ET_lkg_5,THIN_ET_lkg_PAD_10,2_shared_node_chaining,2.1631,2.0551,4.991,0.0652,0.1631,0.0978,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0978."
MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_FPSD3p2,MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,THIN_ET_lkg_100_at20V,2_shared_node_chaining,2.0233,1.9058,5.807,0.1788,0.2765,0.0978,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0978."
MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,MEASURE_ET_lkg_C300FM1,MEASURE_ET_lkg_Cap2,1_triangle+2_shared_node_chaining,2.1499,2.0454,4.862,0.0747,0.1724,0.0977,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0977."
MEASURE_ET_lkg_USV_Cap,OHMIC_ET_lkg_5,THIN_ET_lkg_PAD_10,2_shared_node_chaining,2.1614,2.0473,5.28,0.0724,0.1701,0.0977,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0977."
MEASURE_ET_lkg_Cap3,MEASURE_ET_lkg_USV_Cap,TOPSIN_ET_lkg_CapPARCAP,2_shared_node_chaining,2.1751,2.0579,5.388,0.0649,0.1625,0.0976,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0976."
MEASURE_ET_C100Cap3pf,MEASURE_ET_Rcat_cn_3,TOPSIN_ET_CapPARCAP_0,2_shared_node_chaining,2.113,1.9985,5.415,0.1102,0.2078,0.0976,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0976."
MEASURE_ET_lkg_C300FM1,MEASURE_ET_lkg_Cap2,SIN_ET_lkg_SY07_10,1_triangle+2_shared_node_chaining,2.1277,2.0197,5.075,0.0956,0.1931,0.0975,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0975."
MEASURE_ET_lkg_100,MEASURE_ET_lkg_C300FM1,MEASURE_ET_lkg_Cap2,2_shared_node_chaining,2.172,2.0705,4.675,0.055,0.1524,0.0974,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0974."
MEASURE_ET_LT_SEC_Ileak_m9V_mA_mm,SIN_GATE_ET_lkg_5,THIN_ET_lkg_PAD_10,2_shared_node_chaining,2.1639,2.0423,5.62,0.0768,0.1742,0.0974,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0974."
MEASURE_ET_DC_Diode_D_leak_65V,MEASURE_ET_lkg_C300FM1,MEASURE_ET_lkg_SY07_10,2_shared_node_chaining,2.2,2.0895,5.025,0.0418,0.1392,0.0974,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0974."
MEASURE_ET_lkg_5,MEASURE_ET_lkg_C300FM1,MEASURE_ET_lkg_SY07_10,2_shared_node_chaining,2.1576,2.0473,5.111,0.0741,0.1714,0.0973,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0973."
MEASURE_ET_DC_Diode_D_leak_65V,MEASURE_ET_LT_SEC_Ileak_m5V_mA_mm,THIN_ET_lkg_PAD_10,2_shared_node_chaining,2.2016,2.0942,4.881,0.0334,0.1307,0.0972,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0972."
MEASURE_ET_Cap_C300M1B,TOPSIN_ET_Cap1pf_0,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,2.194,2.0839,5.02,0.0467,0.1438,0.0971,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0971."
MEASURE_ET_lkg_CapFICM1,THIN_ET_lkg_C20,THIN_ET_lkg_PAD_10,2_shared_node_chaining,2.1695,2.0613,4.987,0.0613,0.1584,0.0971,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0971."
MEASURE_ET_Rc_f_hr_23,THIN_ET_Cap_C300,TOPSIN_ET_C100C500pf,2_shared_node_chaining,2.1967,2.0912,4.802,0.0381,0.135,0.097,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0970."
MEASURE_ET_lkg_C300FM1,MEASURE_ET_lkg_CapFICM1,TOPSIN_ET_lkg_5,2_shared_node_chaining,2.1595,2.0523,4.967,0.0694,0.1664,0.0969,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0969."
MEASURE_ET_lkg_Cap3,OHMIC_ET_lkg_5,TOPSIN_ET_lkg_SY07_10,1_triangle+2_shared_node_chaining,2.1605,2.0411,5.526,0.0792,0.176,0.0968,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0968."
MEASURE_ET_lkg_SY07_10,SIN_GATE_ET_lkg_5,TOPSIN_ET_lkg_5,2_shared_node_chaining,2.1991,2.0898,4.969,0.0384,0.1352,0.0968,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0968."
MEASURE_ET_DC_Diode_D_leak_65V,MEASURE_ET_lkg_USV_Cap,THIN_ET_lkg_PAD_10,1_triangle+2_shared_node_chaining,2.1757,2.0654,5.074,0.0581,0.1548,0.0967,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0967."
MEASURE_ET_lkg_CapFICM1,THIN_ET_lkg_PAD_10,TOPSIN_ET_lkg_5,1_triangle+2_shared_node_chaining,2.1781,2.0743,4.763,0.052,0.1486,0.0966,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0966."
MEASURE_ET_lkg_CapFICM1,THIN_ET_lkg_PAD_10,TOPSIN_ET_lkg_CapPARCAP,1_triangle+2_shared_node_chaining,2.1796,2.076,4.753,0.048,0.1446,0.0966,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0966."
MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,MEASURE_ET_lkg_C300FM1,SIN_GATE_ET_lkg_5,2_shared_node_chaining,2.1247,2.0098,5.406,0.1046,0.2011,0.0966,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0966."
MEASURE_ET_lkg_C300FM1,OHMIC_ET_lkg_5,SIN_GATE_ET_lkg_5,2_shared_node_chaining,2.1157,1.9985,5.54,0.1156,0.2122,0.0966,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0966."
MEASURE_ET_lkg_CapFICM1,MEASURE_ET_lkg_USV_Cap,THIN_ET_lkg_C300,1_triangle+2_shared_node_chaining,2.1875,2.0752,5.132,0.0529,0.1494,0.0965,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0965."
SIN_GATE_ET_lkg_SY8_80,THIN_ET_lkg_PAD_10,TOPSIN_ET_lkg_Cap_USV,2_shared_node_chaining,2.1453,2.0282,5.457,0.0932,0.1897,0.0965,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0965."
MEASURE_ET_lkg_5,MEASURE_ET_lkg_PAD_10,TOPSIN_ET_lkg_5,2_shared_node_chaining,2.1356,2.0195,5.436,0.0929,0.1894,0.0965,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0965."
MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,MEASURE_ET_lkg_C300FM1,THIN_ET_lkg_50_at20V,2_shared_node_chaining,2.1592,2.0514,4.995,0.0722,0.1686,0.0964,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0964."
MEASURE_ET_lkg_C300FM1,THIN_ET_lkg_50_at20V,TOPSIN_ET_lkg_Cap3,2_shared_node_chaining,2.1616,2.055,4.93,0.0694,0.1658,0.0964,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0964."
MEASURE_ET_lkg_5,MEASURE_ET_lkg_C300FM1,TOPSIN_ET_lkg_SY07_10,2_shared_node_chaining,2.1301,2.0169,5.315,0.101,0.1973,0.0963,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0963."
