parameter_A,parameter_B,parameter_C,channels,n_channels
MEASURE_ET_HIRS,MEASURE_ET_lkg_Cap1,OHMIC_ET_lkg_5,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_lkg_C300pf,OHMIC_ET_lkg_5,THIN_ET_lkg_PAD_10,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_lkg_C300pf,OHMIC_ET_lkg_5,TOPSIN_ET_lkg_Cap_USV,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
FIC_ET_lkg_SY07_10,MEASURE_ET_lkg_C300pf,OHMIC_ET_lkg_5,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_lkg_C300pf,OHMIC_ET_lkg_5,TOPSIN_ET_lkg_Cap3,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_lkg_C300pf,OHMIC_ET_lkg_5,TOPSIN_ET_lkg_C450pf,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_lkg_100,OHMIC_ET_lkg_5,TOPSIN_ET_DC_RF_Vg_gm_max,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_DC_SEC_Vp_1mA,MEASURE_ET_lkg_100,MEASURE_ET_lkg_5,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_lkg_C300pf,OHMIC_ET_lkg_5,THIN_ET_lkg_5,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_LT_SEC_Ileak_m16p5V_mA_mm,OHMIC_ET_lkg_5,TOPSIN_ET_DC_RF_Vg_gm_max,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
FIC_ET_lkg_SY07_10,MEASURE_ET_HIRS,OHMIC_ET_lkg_5,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_lkg_C300pf,OHMIC_ET_lkg_5,THIN_ET_lkg_C200,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_DC_SEC_Vp_1mA,MEASURE_ET_lkg_100,THIN_ET_lkg_5,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_lkg_C300pf,OHMIC_ET_lkg_5,TOPSIN_ET_lkg_SY07_10,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
OHMIC_ET_lkg_5,SIN_ET_lkg_SY07_10,TOPSIN_ET_lkg_Cap3,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_lkg_C300pf,OHMIC_ET_lkg_5,TOPSIN_ET_DC_RF_Vg_gm_max,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_lkg_C300pf,OHMIC_ET_lkg_5,TOPSIN_ET_lkg_5,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_lkg_70_at20V,OHMIC_ET_lkg_5,SIN_ET_lkg_SY07_10,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_lkg_70_at20V,OHMIC_ET_lkg_5,TOPSIN_ET_lkg_CapFICM1,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_DC_SEC_Vp_1mA,MEASURE_ET_lkg_5,THIN_ET_lkg_PAD_10,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_DC_SEC_Vp_1mA,MEASURE_ET_lkg_5,TOPSIN_ET_lkg_Cap_USV,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
OHMIC_ET_lkg_5,SIN_ET_lkg_SY07_10,TOPSIN_ET_lkg_C450pf,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_DC_SEC_Vp_1mA,MEASURE_ET_lkg_5,THIN_ET_lkg_5,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_DC_SEC_Vp_1mA,MEASURE_ET_lkg_5,THIN_ET_lkg_C200,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_DC_SEC_Vp_1mA,MEASURE_ET_lkg_5,TOPSIN_ET_lkg_CapPARCAP,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_DC_SEC_Vp_1mA,MEASURE_ET_lkg_5,MEASURE_ET_lkg_Cap1,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_lkg_50,MEASURE_ET_lkg_C300pf,OHMIC_ET_lkg_5,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_lkg_CapFICM1,OHMIC_ET_lkg_5,TOPSIN_ET_DC_RF_Vg_gm_max,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_DC_SEC_Vp_1mA,MEASURE_ET_lkg_PAD_10,THIN_ET_lkg_5,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_lkg_PAD_10,OHMIC_ET_lkg_5,TOPSIN_ET_DC_RF_Vg_gm_max,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
OHMIC_ET_lkg_5,SIN_ET_lkg_SY07_10,THIN_ET_lkg_5,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_lkg_50,OHMIC_ET_lkg_5,SIN_ET_lkg_SY07_10,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_lkg_50,OHMIC_ET_lkg_5,TOPSIN_ET_lkg_CapFICM1,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_lkg_70_at20V,OHMIC_ET_lkg_5,TOPSIN_ET_lkg_Cap_USV,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_HIRS,MEASURE_ET_lkg_USV_Cap,OHMIC_ET_lkg_5,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_lkg_C300pf,MEASURE_ET_lkg_Cap1,OHMIC_ET_lkg_5,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
FIC_ET_lkg_SY07_10,OHMIC_ET_lkg_5,SIN_ET_lkg_SY07_10,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
FIC_ET_lkg_SY07_10,OHMIC_ET_lkg_5,TOPSIN_ET_lkg_CapFICM1,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_lkg_50,OHMIC_ET_lkg_5,TOPSIN_ET_lkg_Cap_USV,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
OHMIC_ET_lkg_5,SIN_ET_lkg_SY07_10,THIN_ET_lkg_C200,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
OHMIC_ET_lkg_5,SIN_ET_lkg_SY07_10,TOPSIN_ET_lkg_SY07_10,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_lkg_C300pf,MEASURE_ET_lkg_USV_Cap,OHMIC_ET_lkg_5,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
FIC_ET_lkg_SY07_10,OHMIC_ET_lkg_5,TOPSIN_ET_lkg_Cap_USV,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
OHMIC_ET_lkg_5,SIN_GATE_ET_lkg_SY8_80,TOPSIN_ET_lkg_Cap_USV,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_lkg_50,OHMIC_ET_lkg_5,TOPSIN_ET_DC_RF_Vg_gm_max,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_DC_SEC_Vp_1mA,THIN_ET_lkg_5,THIN_ET_lkg_PAD_10,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_DC_SEC_Vp_1mA,THIN_ET_lkg_5,TOPSIN_ET_lkg_Cap_USV,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_DC_SEC_Vp_1mA,THIN_ET_lkg_5,THIN_ET_lkg_C200,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_DC_SEC_Vp_1mA,THIN_ET_lkg_5,TOPSIN_ET_lkg_CapPARCAP,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
FIC_ET_lkg_SY07_10,OHMIC_ET_lkg_5,TOPSIN_ET_DC_RF_Vg_gm_max,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
CATHODE_ET_Rcat_cn_2,FIC_ET_DC_RF_Imax,TOPSIN_ET_CapPARCAP_0,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
OHMIC_ET_lkg_5,SIN_ET_lkg_SY07_10,TOPSIN_ET_lkg_5,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,MEASURE_ET_lkg_C300pf,OHMIC_ET_lkg_5,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_lkg_70_at20V,OHMIC_ET_lkg_5,TOPSIN_ET_DC_RF_Vg_gm_max,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
OHMIC_ET_lkg_5,TOPSIN_ET_lkg_C450pf,TOPSIN_ET_lkg_CapFICM1,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
OHMIC_ET_lkg_5,TOPSIN_ET_lkg_5,TOPSIN_ET_lkg_CapFICM1,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
OHMIC_ET_lkg_5,TOPSIN_ET_lkg_CapFICM1,TOPSIN_ET_lkg_Cap_USV,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_DC_SEC_Vp_1mA,OHMIC_ET_lkg_5,TOPSIN_ET_lkg_Cap_USV,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
OHMIC_ET_lkg_5,TOPSIN_ET_lkg_CapFICM1,TOPSIN_ET_lkg_SY07_10,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_lkg_50_at20V,MEASURE_ET_lkg_C300pf,OHMIC_ET_lkg_5,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
OHMIC_ET_lkg_5,SIN_ET_lkg_SY8_80,TOPSIN_ET_lkg_CapFICM1,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
OHMIC_ET_lkg_5,TOPSIN_ET_DC_RF_Vg_gm_max,TOPSIN_ET_lkg_5,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_DC_SEC_Vp_1mA,MEASURE_ET_lkg_100_at20V,MEASURE_ET_lkg_5,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
OHMIC_ET_lkg_5,THIN_ET_lkg_5,TOPSIN_ET_DC_RF_Vg_gm_max,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
OHMIC_ET_lkg_5,TOPSIN_ET_DC_RF_Vg_gm_max,TOPSIN_ET_lkg_SY07_10,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_HIRS,MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,SIN_ET_lkg_SY8_80,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,OHMIC_ET_lkg_5,SIN_ET_lkg_SY07_10,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_DC_SEC_Vp_1mA,MEASURE_ET_lkg_100_at20V,THIN_ET_lkg_5,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,OHMIC_ET_lkg_5,TOPSIN_ET_lkg_CapFICM1,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_lkg_50_at20V,OHMIC_ET_lkg_5,SIN_ET_lkg_SY07_10,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_lkg_50_at20V,OHMIC_ET_lkg_5,TOPSIN_ET_lkg_CapFICM1,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
OHMIC_ET_lkg_5,THIN_ET_lkg_5,TOPSIN_ET_lkg_Cap_USV,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
OHMIC_ET_lkg_5,TOPSIN_ET_lkg_Cap3,TOPSIN_ET_lkg_CapFICM1,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
OHMIC_ET_lkg_5,THIN_ET_lkg_PAD_10,TOPSIN_ET_lkg_CapFICM1,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
OHMIC_ET_lkg_5,SIN_ET_lkg_SY8_80,TOPSIN_ET_lkg_Cap_USV,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_DC_SEC_Vp_1mA,MEASURE_ET_lkg_Cap1,THIN_ET_lkg_5,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_lkg_10,MEASURE_ET_lkg_C300pf,OHMIC_ET_lkg_5,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
OHMIC_ET_lkg_5,THIN_ET_lkg_PAD_10,TOPSIN_ET_DC_RF_Vg_gm_max,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_HIRS,OHMIC_ET_lkg_5,TOPSIN_ET_lkg_C450pf,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,OHMIC_ET_lkg_5,TOPSIN_ET_DC_RF_Vg_gm_max,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_lkg_USV_Cap,OHMIC_ET_lkg_5,SIN_ET_lkg_SY07_10,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_lkg_USV_Cap,OHMIC_ET_lkg_5,TOPSIN_ET_lkg_CapFICM1,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
OHMIC_ET_lkg_5,SIN_GATE_ET_lkg_SY8_80,TOPSIN_ET_DC_RF_Vg_gm_max,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
OHMIC_ET_lkg_5,TOPSIN_ET_lkg_Cap3,TOPSIN_ET_lkg_Cap_USV,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
OHMIC_ET_lkg_5,THIN_ET_lkg_PAD_10,TOPSIN_ET_lkg_Cap_USV,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_lkg_C300,MEASURE_ET_lkg_C300pf,OHMIC_ET_lkg_5,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_lkg_50_at20V,OHMIC_ET_lkg_5,TOPSIN_ET_DC_RF_Vg_gm_max,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_HIRS,MEASURE_ET_lkg_100,SIN_ET_lkg_SY8_80,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_HIRS,OHMIC_ET_lkg_5,TOPSIN_ET_lkg_Cap3,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
OHMIC_ET_lkg_5,THIN_ET_lkg_5,TOPSIN_ET_lkg_CapFICM1,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
OHMIC_ET_lkg_5,SIN_ET_lkg_SY8_80,TOPSIN_ET_DC_RF_Vg_gm_max,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_lkg_USV_Cap,OHMIC_ET_lkg_5,TOPSIN_ET_lkg_Cap_USV,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
OHMIC_ET_lkg_5,THIN_ET_lkg_C200,TOPSIN_ET_DC_RF_Vg_gm_max,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_lkg_Cap_USV,OHMIC_ET_lkg_5,SIN_ET_lkg_SY07_10,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_lkg_Cap_USV,OHMIC_ET_lkg_5,TOPSIN_ET_lkg_CapFICM1,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_HIRS,OHMIC_ET_lkg_5,TOPSIN_ET_lkg_CapFICM1,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_HIRS,OHMIC_ET_lkg_5,THIN_ET_TF_AB_2,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_lkg_C300,OHMIC_ET_lkg_5,SIN_ET_lkg_SY07_10,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_HIRS,OHMIC_ET_lkg_5,TOPSIN_ET_lkg_SY8_80,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_CapPARCAP,SIN_ET_DC_RF_Idss,TOPSIN_ET_R114,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional,3
MEASURE_ET_lkg_70,TOPSIN_ET_DC_RF_Vbgs_0p1,TOPSIN_ET_lkg_CapFICM1,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional,3
TOPSIN_ET_CapUSV_0,TOPSIN_ET_DC_RF_Vbgs_0p1,TOPSIN_ET_lkg_Cap3,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional,3
TOPSIN_ET_CapUSV_0,TOPSIN_ET_DC_RF_Vbgs_0p1,TOPSIN_ET_lkg_C450pf,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional,3
TOPSIN_ET_DC_RF_Vbgs_0p1,TOPSIN_ET_lkg_CapFICM1,TOPSIN_ET_lkg_SY07_10,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional,3
TOPSIN_ET_DC_RF_Vbgs_0p1,TOPSIN_ET_lkg_Cap3,TOPSIN_ET_lkg_CapFICM1,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional,3
MEASURE_ET_lkg_70,TOPSIN_ET_CapUSV_0,TOPSIN_ET_DC_RF_Vbgs_0p1,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional,3
TOPSIN_ET_DC_RF_Vbgs_0p1,TOPSIN_ET_lkg_C450pf,TOPSIN_ET_lkg_CapFICM1,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional,3
MEASURE_ET_lkg_70,MEASURE_ET_lkg_PAD_10,OHMIC_ET_lkg_5,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,3
MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_first_SD3p5,MEASURE_ET_lkg_100,OHMIC_ET_lkg_5,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,3
ANODE_ET_Probe_Number,MEASURE_ET_HIRS,SIN_ET_lkg_SY8_80,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional,3
ANODE_ET_Ran_con_1,MEASURE_ET_lkg_50,MEASURE_ET_lkg_50_at20V,1_triangle+2_shared_node_chaining+5_residual_conditional_structure,3
MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_first_SD3p5,MEASURE_ET_Vbpin,OHMIC_ET_lkg_5,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,3
MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_first_SD3p5,MEASURE_ET_Vbpin,THIN_ET_C200_0,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional,3
MEASURE_ET_lkg_70,MEASURE_ET_lkg_CapFICM1,OHMIC_ET_lkg_5,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,3
MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_first_SD3p5,MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,OHMIC_ET_lkg_5,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,3
MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_first_SD3p5,MEASURE_ET_lkg_10,OHMIC_ET_lkg_5,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,3
MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_first_SD3p5,MEASURE_ET_lkg_70,OHMIC_ET_lkg_5,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,3
MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_first_SD3p5,MEASURE_ET_lkg_50,OHMIC_ET_lkg_5,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,3
MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_first_SD3p5,MEASURE_ET_lkg_PAD_10,OHMIC_ET_lkg_5,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,3
MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_first_SD3p5,MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_FPSD3p2,OHMIC_ET_lkg_5,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional,3
MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_first_SD3p5,MEASURE_ET_lkg_CapFICM1,OHMIC_ET_lkg_5,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,3
ANODE_ET_Ran_con_1,MEASURE_ET_DC_RF_Max_S11_Freq_L1018,TOPSIN_ET_lkg_SY07_10,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional,3
MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_first_SD3p5,MEASURE_ET_LT_SEC_Ileak_m16p5V_mA_mm,OHMIC_ET_lkg_5,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,3
MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_first_SD3p5,MEASURE_ET_lkg_70_at20V,OHMIC_ET_lkg_5,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,3
MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_first_SD3p5,MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,OHMIC_ET_lkg_5,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,3
MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_first_SD3p5,MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,OHMIC_ET_lkg_5,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,3
MEASURE_ET_HIRS,MEASURE_ET_LT_SEC_Ileak_m12p5V_mA_mm,OHMIC_ET_lkg_5,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,3
MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_first_SD3p5,OHMIC_ET_lkg_5,SIN_ET_lkg_SY8_80,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,3
